serviceapprovalgranteddate, qualityarea3rating, phone, numberofapprovedplaces, fax, provider_approval_number, overallrating, providerlegalname, servicename, state, qualityarea6rating, qualityarea2rating, qualityarea7rating, serviceaddress, postcode, qualityarea4rating, conditions_on_approval, serviceapprovalnumber, qualityarea1rating, suburb, ogc_fid, qualityarea5rating, email_address
"2008-12-08T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9625 9462                                                                                                                                                                                                                                                   ",29.0,"02 9625 9462                                                                                                                                                                                                                                                   ","PR-00003575                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Plumpton Long Day Care & Preschool                                                                                                                                                                                                                             ","Plumpton Long Day Care & Preschool                                                                                                                                                                                                                             ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","63 Bottles Road                                                                                                                                                                                                                                                ",2761.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00008743                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","PLUMPTON                                                                                                                                                                                                                                                       ",10403,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","plumptonldc@childrenfirst.asn.au                                                                                                                                                                                                                               "
"2012-06-14T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9675 5299                                                                                                                                                                                                                                                   ",45.0,"02 9675 5288                                                                                                                                                                                                                                                   ","PR-00003575                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Plumpton Outside School Hours                                                                                                                                                                                                                                  ","Plumpton Outside School Hours                                                                                                                                                                                                                                  ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","33 Bottles Road                                                                                                                                                                                                                                                ",2761.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00011550                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Plumpton                                                                                                                                                                                                                                                       ",10404,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","posh@childrenfirst.asn.au                                                                                                                                                                                                                                      "
"2009-04-17T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9675 5310                                                                                                                                                                                                                                                   ",56.0,"02 9675 5312                                                                                                                                                                                                                                                   ","PR-00003547                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Rainbow Child Care Centre                                                                                                                                                                                                                                      ","Rainbow Child Care Centre                                                                                                                                                                                                                                      ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","5 O'Brien Street                                                                                                                                                                                                                                               ",2770.0,"Working Towards NQS                                                                                                                                                                                                                                            ",null,"SE-00008802                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","MT DRUITT                                                                                                                                                                                                                                                      ",10626,"Working Towards NQS                                                                                                                                                                                                                                            ","rainbowchildcare@gotalk.net.au                                                                                                                                                                                                                                 "
"2013-11-21T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","02 9625 3397                                                                                                                                                                                                                                                   ",45.0,null,"PR-00007097                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Rooty Hill Outside Of School Hours Care Centre Inc                                                                                                                                                                                                             ","Rooty Hill Outside Of School Hours Care Centre Inc                                                                                                                                                                                                             ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","113 Rooty Hill Road North                                                                                                                                                                                                                                      ",2766.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ",null,"SE-00012184                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","ROOTY HILL                                                                                                                                                                                                                                                     ",10874,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","rhoosh123@bigpond.com                                                                                                                                                                                                                                          "
"2013-01-09T00:00:00.000+0000","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","02 9675 5425                                                                                                                                                                                                                                                   ",49.0,null,"PR-00006656                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Sdn Beranga Children's Education and Care                                                                                                                                                                                                                      ","Sdn Beranga Children's Education and Care                                                                                                                                                                                                                      ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","128 Hartington Street                                                                                                                                                                                                                                          ",2766.0,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ",null,"SE-00011977                                                                                                                                                                                                                                                    ","Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","Rooty Hill                                                                                                                                                                                                                                                     ",11132,"Provisional _ Not yet assessed                                                                                                                                                                                                                                 ","beranga@sdn.org.au                                                                                                                                                                                                                                             "
"2006-11-30T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9832 7477                                                                                                                                                                                                                                                   ",39.0,null,"PR-00004088                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","St Anthony's Early Learning Centre                                                                                                                                                                                                                             ","St Anthony's Early Learning Centre                                                                                                                                                                                                                             ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","46-48 Eskdale Road                                                                                                                                                                                                                                             ",2770.0,"Meeting NQS                                                                                                                                                                                                                                                    ",null,"SE-00009052                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","MINCHINBURY                                                                                                                                                                                                                                                    ",11523,"Meeting NQS                                                                                                                                                                                                                                                    ","stanthonyselc@hotmail.com                                                                                                                                                                                                                                      "
"2013-12-18T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","296705555                                                                                                                                                                                                                                                      ",170.0,"296705643                                                                                                                                                                                                                                                      ","PR-40000060                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","St Clair OOSH                                                                                                                                                                                                                                                  ","St Clair OOSH                                                                                                                                                                                                                                                  ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","158 Bennett Rd                                                                                                                                                                                                                                                 ",2759.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ",null,"SE-40000031                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","ST CLAIR                                                                                                                                                                                                                                                       ",11664,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","admin@stclairoosh.com                                                                                                                                                                                                                                          "
"2009-09-01T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9832 4527                                                                                                                                                                                                                                                   ",20.0,"02 9832 4527                                                                                                                                                                                                                                                   ","PR-00003991                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","St Markorious Kindergarten Long Day Care Centre                                                                                                                                                                                                                ","St Markorious Kindergarten Long Day Care Centre                                                                                                                                                                                                                ","NSW                                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","Working Towards NQS                                                                                                                                                                                                                                            ","St Markorious Kindergarten  42 Austral Street                                                                                                                                                                                                                  ",2770.0,"Meeting NQS                                                                                                                                                                                                                                                    ",null,"SE-00009082                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","MOUNT DRUITT                                                                                                                                                                                                                                                   ",11783,"Working Towards NQS                                                                                                                                                                                                                                            ",null
"2009-02-04T00:00:00.000+0000","Working Towards NQS                                                                                                                                                                                                                                            ","02 9832 0378                                                                                                                                                                                                                                                   ",39.0,"02 9675 1513                                                                                                                                                                                                                                                   ","PR-00003947                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","St Marks Child Care Centre - Oakhurst                                                                                                                                                                                                                          ","St Marks Child Care Centre - Oakhurst                                                                                                                                                                                                                          ","NSW                                                                                                                                                                                                                                                            ","Meeting NQS                                                                                                                                                                                                                                                    ","Working Towards NQS                                                                                                                                                                                                                                            ","Meeting NQS                                                                                                                                                                                                                                                    ","97-99 Hyatts Road                                                                                                                                                                                                                                              ",2761.0,"Working Towards NQS                                                                                                                                                                                                                                            ",null,"SE-00009084                                                                                                                                                                                                                                                    ","Meeting NQS                                                                                                                                                                                                                                                    ","OAKHURST                                                                                                                                                                                                                                                       ",11785,"Working Towards NQS                                                                                                                                                                                                                                            ","stmarkschildcare@bigpond.com                                                                                                                                                                                                                                   "
"2013-12-23T00:00:00.000+0000","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","296756200                                                                                                                                                                                                                                                      ",55.0,null,"PR-00003947                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","St Marks Child Care Centre Oakhurst Outside School Hours Care                                                                                                                                                                                                  ","St Marks Child Care Centre Oakhurst Outside School Hours Care                                                                                                                                                                                                  ","NSW                                                                                                                                                                                                                                                            ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","St Marks Before/After School Care  97 Hyatts Rd                                                                                                                                                                                                                ",2761.0,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ",null,"SE-40000940                                                                                                                                                                                                                                                    ","Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","OAKHURST                                                                                                                                                                                                                                                       ",11786,"Provisional _ Not Yet Assessed                                                                                                                                                                                                                                 ","stmarkschildcare@bigpond.com                                                                                                                                                                                                                                   "
